,Rank,Country,Population,World_Share(%),Land_Area_Km²
0,1,Honduras,9904607,0.1,111890
1,2,United Arab Emirates,9890402,0.1,83600
2,3,Djibouti,988000,0.0,23180
3,4,Seychelles,98347,0.0,460
4,5,Antigua and Barbuda,97929,0.0,440
5,6,Vietnam,97338579,1.2,310070
6,7,Hungary,9660351,0.1,90530
7,8,Tajikistan,9537645,0.1,139960
8,9,Belarus,9449323,0.1,202910
9,10,Austria,9006398,0.1,82409
10,11,Fiji,896445,0.0,18270
11,12,DR Congo,89561403,1.1,2267050
12,13,Papua New Guinea,8947024,0.1,452860
13,14,Serbia,8737371,0.1,87460
14,15,Comoros,869601,0.0,1861
15,16,Israel,8655535,0.1,21640
16,17,Switzerland,8654622,0.1,39516
17,18,Turkey,84339067,1.1,769630
18,19,Iran,83992949,1.1,1628550
19,20,Germany,83783942,1.1,348560
20,21,Togo,8278724,0.1,54390
21,22,Holy See,801,0.0,0
22,23,Sierra Leone,7976983,0.1,72180
23,24,Guyana,786552,0.0,196850
24,25,Andorra,77265,0.0,470
25,26,Bhutan,771608,0.0,38117
26,27,Laos,7275560,0.1,230800
27,28,Dominica,71986,0.0,750
28,29,Paraguay,7132538,0.1,397300
29,30,Thailand,69799978,0.9,510890
30,31,Bulgaria,6948445,0.1,108560
31,32,Libya,6871292,0.1,1759540
32,33,Solomon Islands,686884,0.0,27990
33,34,Lebanon,6825445,0.1,10230
34,35,United Kingdom,67886011,0.9,241930
35,36,Nicaragua,6624554,0.1,120340
36,37,France,65273511,0.8,547557
37,38,Kyrgyzstan,6524195,0.1,191800
38,39,El Salvador,6486205,0.1,20720
39,40,Montenegro,628066,0.0,13450
40,41,Luxembourg,625978,0.0,2590
41,42,Italy,60461826,0.8,294140
42,43,Turkmenistan,6031200,0.1,469930
43,44,Tanzania,59734218,0.8,885800
44,45,South Africa,59308690,0.8,1213090
45,46,Marshall Islands,59190,0.0,180
46,47,Suriname,586632,0.0,156000
47,48,Singapore,5850342,0.1,700
48,49,Denmark,5792202,0.1,42430
49,50,Cabo Verde,555987,0.0,4030
50,51,Finland,5540720,0.1,303890
51,52,Congo,5518087,0.1,341500
52,53,Micronesia,548914,0.0,700
53,54,Slovakia,5459642,0.1,48088
54,55,Myanmar,54409800,0.7,653290
55,56,Norway,5421241,0.1,365268
56,57,Maldives,540544,0.0,300
57,58,Kenya,53771296,0.7,569140
58,59,Saint Kitts & Nevis,53199,0.0,260
59,60,South Korea,51269185,0.7,97230
60,61,Oman,5106626,0.1,309500
61,62,State of Palestine,5101414,0.1,6020
62,63,Costa Rica,5094118,0.1,51060
63,64,Colombia,50882891,0.7,1109500
64,65,Liberia,5057681,0.1,96320
65,66,Ireland,4937786,0.1,68890
66,67,Central African Republic,4829767,0.1,622980
67,68,New Zealand,4822233,0.1,263310
68,69,Spain,46754778,0.6,498800
69,70,Mauritania,4649658,0.1,1030700
70,71,Uganda,45741007,0.6,199810
